Country,Age_Group,Gender,Daily_Screen_Time_Hours,Peak_Viewing_Hour,Content_Category,Device_Type,Subscription_Type,Platform,Weekly_Sessions,Average_Session_Duration_Minutes,Number_of_Platforms_Used,Internet_Connection,Content_Language_Preference,Binge_Watch_Frequency
Peru,Adults,Female,High,19,Sports,Smart TV,Basic,Netflix,9,67,1,5G,Korean,Never
Bangladesh,Children,Female,High,18,Drama,Tablet,Basic,Netflix,17,47,3,5G,Spanish,Never
France,Adults,Male,High,21,Comedy,Smart TV,Premium,YouTube,22,38,4,5G,Korean,Never
Sweden,Adults,Male,High,18,Documentary,Tablet,Free,Netflix,14,56,4,Fiber,Korean,2-3 Times Per Week
Colombia,Adults,Male,High,21,Romance,Mobile,Basic,Amazon Prime Video,19,55,3,4G LTE,Japanese,2-3 Times Per Week
India,Young Adults,Female,High,22,Sports,Tablet,Basic,Netflix,23,57,3,Broadband,German,Multiple Times Per Week
Nigeria,Adults,Female,High,19,Thriller,Desktop,Basic,Disney+,20,51,1,5G,German,2-3 Times Per Week
Ethiopia,Young Adults,Male,High,20,Sci-Fi,Smart TV,Standard,Disney+,23,56,2,4G LTE,Hindi,Monthly
Japan,Adults,Male,Moderate,19,Animation,Smart TV,Free,Disney+,21,52,3,ADSL,English,Multiple Times Per Week
Brazil,Adults,Female,High,21,Sports,Desktop,Standard,YouTube,12,35,3,5G,French,Daily
Germany,Adults,Female,Moderate,23,Action,Mobile,Standard,Disney+,12,49,2,Fiber,Korean,Weekly
China,Adults,Female,Moderate,18,Animation,Mobile,Free,Disney+,11,50,4,Broadband,Portuguese,Multiple Times Per Week
Belgium,Young Adults,Male,High,18,Sci-Fi,Mobile,Standard,Instagram,21,21,3,4G LTE,Arabic,Weekly
Ecuador,Adults,Male,High,18,Drama,Desktop,Premium,Amazon Prime Video,22,66,1,Fiber,German,Daily
Sweden,Adults,Female,Moderate,18,Comedy,Mobile,Standard,TikTok,12,30,3,5G,Hindi,Monthly
Malaysia,Adults,Female,High,19,Sports,Smart TV,Basic,Disney+,17,58,4,5G,French,2-3 Times Per Week
India,Young Adults,Male,High,19,Action,Tablet,Free,Disney+,20,60,2,5G,Korean,Weekly
Spain,Young Adults,Male,High,21,Sci-Fi,Desktop,Basic,Disney+,23,42,2,5G,French,Monthly
Pakistan,Adults,Male,High,23,Thriller,Desktop,Premium,YouTube,19,38,2,Fiber,Hindi,Weekly
Canada,Young Adults,Female,High,23,Thriller,Desktop,Basic,TikTok,24,41,5,5G,Spanish,Monthly
Pakistan,Young Adults,Female,High,22,Horror,Desktop,Basic,Netflix,23,54,3,5G,Hindi,Never
Ghana,Adults,Female,Moderate,22,Drama,Smart TV,Standard,Netflix,10,65,2,ADSL,Portuguese,Never
Egypt,Adults,Female,High,21,Documentary,Desktop,Basic,Instagram,14,19,2,Fiber,Korean,2-3 Times Per Week
Kenya,Children,Male,High,20,Action,Desktop,Premium,Instagram,17,16,3,5G,German,Multiple Times Per Week
United Kingdom,Adults,Male,Moderate,21,Action,Mobile,Free,Amazon Prime Video,9,47,4,Fiber,French,Multiple Times Per Week
Mexico,Adults,Male,High,18,Thriller,Tablet,Free,Disney+,22,55,4,4G LTE,Spanish,Daily
Germany,Adults,Male,Moderate,19,Romance,Mobile,Free,TikTok,18,20,3,Fiber,French,Monthly
China,Adults,Male,Moderate,18,Romance,Mobile,Basic,Netflix,21,61,3,4G LTE,Japanese,Weekly
Spain,Children,Female,High,18,Action,Smart TV,Basic,Disney+,20,47,4,5G,Japanese,Multiple Times Per Week
Chile,Young Adults,Female,High,21,Documentary,Desktop,Premium,TikTok,21,41,3,5G,Arabic,Daily
Ecuador,Adults,Male,Moderate,22,Romance,Mobile,Premium,Netflix,12,67,3,5G,Korean,2-3 Times Per Week
Malaysia,Adults,Female,High,19,Comedy,Mobile,Free,Disney+,18,59,3,ADSL,English,Multiple Times Per Week
Kenya,Young Adults,Male,High,22,Action,Mobile,Free,Amazon Prime Video,23,56,1,Fiber,German,2-3 Times Per Week
Egypt,Adults,Male,High,23,Thriller,Tablet,Standard,Netflix,14,47,1,Broadband,Portuguese,Daily
Norway,Children,Male,High,22,Thriller,Tablet,Standard,YouTube,20,36,3,4G LTE,Spanish,Multiple Times Per Week
Israel,Adults,Female,High,19,Sci-Fi,Tablet,Basic,Disney+,19,45,4,Broadband,Arabic,Never
Ethiopia,Young Adults,Female,High,19,Sci-Fi,Mobile,Standard,Netflix,22,46,3,Fiber,Korean,Never
Philippines,Adults,Female,High,21,Sci-Fi,Mobile,Basic,Amazon Prime Video,22,51,3,Fiber,Korean,Weekly
Norway,Adults,Female,Moderate,22,Sports,Desktop,Standard,Netflix,10,59,3,Fiber,Japanese,Multiple Times Per Week
Colombia,Young Adults,Female,High,21,Comedy,Mobile,Basic,TikTok,21,34,3,4G LTE,English,Never
Colombia,Adults,Male,High,18,Drama,Tablet,Premium,Amazon Prime Video,17,56,2,5G,Chinese,2-3 Times Per Week
Vietnam,Children,Male,High,23,Animation,Mobile,Standard,Netflix,17,69,3,Broadband,French,Weekly
Mexico,Children,Female,High,18,Animation,Tablet,Basic,Amazon Prime Video,17,50,3,Broadband,Japanese,Never
South Africa,Adults,Male,High,23,Action,Mobile,Free,Netflix,12,49,2,ADSL,Korean,Monthly
Nigeria,Children,Male,High,21,Animation,Desktop,Basic,TikTok,16,30,2,ADSL,English,Multiple Times Per Week
Chile,Children,Female,High,23,Thriller,Mobile,Basic,Netflix,20,69,3,5G,Arabic,Monthly
Vietnam,Adults,Male,High,20,Sci-Fi,Smart TV,Standard,YouTube,16,29,4,Broadband,German,Weekly
South Africa,Adults,Male,High,21,Documentary,Mobile,Free,Disney+,10,42,3,ADSL,Korean,Multiple Times Per Week
Egypt,Adults,Female,Moderate,20,Documentary,Tablet,Free,TikTok,11,30,2,Broadband,Korean,Never
New Zealand,Adults,Female,High,21,Action,Desktop,Standard,TikTok,17,34,3,5G,Arabic,Never
Colombia,Children,Female,High,18,Horror,Tablet,Premium,Amazon Prime Video,16,43,3,ADSL,Korean,Daily
Tunisia,Adults,Male,Moderate,19,Animation,Smart TV,Basic,Netflix,10,54,1,5G,French,Never
Egypt,Adults,Female,High,22,Drama,Desktop,Standard,Instagram,16,37,3,Broadband,German,2-3 Times Per Week
Egypt,Adults,Male,Moderate,21,Animation,Mobile,Free,TikTok,9,26,3,Broadband,Korean,Monthly
New Zealand,Adults,Male,Moderate,23,Animation,Desktop,Basic,TikTok,11,32,2,5G,Japanese,Never
China,Children,Female,High,22,Drama,Desktop,Standard,Instagram,16,17,3,Broadband,Japanese,Monthly
Spain,Adults,Female,High,20,Sci-Fi,Mobile,Basic,Netflix,20,49,3,5G,Chinese,Monthly
Indonesia,Adults,Male,High,23,Thriller,Desktop,Basic,Amazon Prime Video,16,66,2,4G LTE,German,Daily
Canada,Children,Female,High,23,Romance,Tablet,Standard,TikTok,16,26,3,5G,Portuguese,Multiple Times Per Week
Indonesia,Children,Female,High,18,Sports,Desktop,Basic,TikTok,18,30,2,Fiber,French,Multiple Times Per Week
Mexico,Young Adults,Male,High,21,Animation,Mobile,Standard,Amazon Prime Video,24,45,2,Fiber,Japanese,Monthly
Spain,Adults,Female,Moderate,22,Sports,Tablet,Basic,Disney+,8,63,3,ADSL,Korean,Weekly
Australia,Young Adults,Male,High,23,Comedy,Tablet,Premium,YouTube,23,44,2,ADSL,German,Daily
South Africa,Young Adults,Female,High,22,Horror,Smart TV,Premium,Instagram,22,35,3,5G,German,Daily
Spain,Adults,Male,High,18,Action,Desktop,Premium,Disney+,13,46,3,Broadband,Hindi,Never
Japan,Adults,Female,Moderate,19,Animation,Tablet,Standard,YouTube,17,33,2,ADSL,Portuguese,Multiple Times Per Week
Nigeria,Children,Female,High,21,Sci-Fi,Tablet,Basic,Amazon Prime Video,16,44,1,ADSL,Japanese,2-3 Times Per Week
Netherlands,Young Adults,Female,High,23,Comedy,Mobile,Free,Netflix,23,62,4,5G,English,Never
New Zealand,Children,Female,High,20,Action,Desktop,Premium,Netflix,20,56,2,Fiber,French,Monthly
Nigeria,Young Adults,Male,High,22,Romance,Desktop,Standard,Netflix,21,58,1,ADSL,Korean,Weekly
Argentina,Adults,Male,High,23,Action,Tablet,Free,Netflix,9,54,4,ADSL,German,Daily
Pakistan,Adults,Male,High,20,Horror,Tablet,Free,YouTube,22,30,2,5G,Spanish,Never
Egypt,Young Adults,Female,High,19,Sports,Smart TV,Premium,Instagram,23,34,2,5G,Arabic,Daily
Australia,Adults,Female,High,20,Comedy,Desktop,Standard,TikTok,15,19,3,4G LTE,English,Multiple Times Per Week
Thailand,Young Adults,Female,High,21,Sports,Desktop,Basic,TikTok,21,31,3,5G,French,Never
Belgium,Young Adults,Female,High,20,Horror,Tablet,Premium,Amazon Prime Video,22,47,3,ADSL,English,Never
Peru,Children,Male,High,19,Horror,Smart TV,Standard,Netflix,18,52,1,4G LTE,English,2-3 Times Per Week
Ecuador,Children,Female,High,23,Romance,Mobile,Free,Disney+,17,53,1,Fiber,English,Daily
Israel,Adults,Female,Moderate,18,Comedy,Mobile,Standard,Netflix,12,62,2,5G,Portuguese,Daily
Netherlands,Adults,Male,Moderate,21,Sports,Tablet,Standard,YouTube,8,41,2,Fiber,Portuguese,Daily
India,Young Adults,Male,High,22,Sci-Fi,Smart TV,Premium,Amazon Prime Video,22,66,2,Fiber,French,Monthly
Indonesia,Children,Female,High,21,Comedy,Smart TV,Premium,TikTok,19,37,2,ADSL,Spanish,Never
United States,Adults,Female,High,19,Documentary,Desktop,Free,YouTube,21,28,2,Broadband,Portuguese,Daily
Ecuador,Adults,Male,High,21,Horror,Desktop,Standard,Amazon Prime Video,21,56,2,Broadband,Japanese,Multiple Times Per Week
Norway,Adults,Male,High,20,Thriller,Smart TV,Basic,Amazon Prime Video,19,42,3,ADSL,Spanish,Multiple Times Per Week
Ecuador,Adults,Male,High,23,Documentary,Smart TV,Premium,Netflix,17,51,1,4G LTE,Japanese,Daily
United Kingdom,Adults,Female,Moderate,20,Drama,Desktop,Free,YouTube,15,49,5,Fiber,Spanish,Weekly
Philippines,Children,Male,High,23,Horror,Tablet,Standard,Netflix,19,46,3,Fiber,Spanish,2-3 Times Per Week
Mexico,Children,Female,High,18,Thriller,Smart TV,Premium,TikTok,17,27,2,Broadband,Korean,Daily
Philippines,Adults,Male,High,19,Comedy,Tablet,Premium,Amazon Prime Video,9,49,2,Fiber,Portuguese,Weekly
Saudi Arabia,Adults,Female,Moderate,20,Documentary,Tablet,Free,Instagram,10,34,5,ADSL,Hindi,2-3 Times Per Week
Ghana,Young Adults,Male,High,23,Sports,Smart TV,Basic,TikTok,21,36,2,Fiber,German,Never
Kenya,Adults,Male,Moderate,20,Thriller,Smart TV,Basic,Amazon Prime Video,11,66,2,Fiber,Spanish,Never
France,Children,Male,High,23,Action,Desktop,Free,Instagram,19,31,3,5G,Arabic,Daily
Japan,Young Adults,Female,Moderate,20,Drama,Tablet,Standard,Disney+,22,52,3,Fiber,Spanish,Multiple Times Per Week
Nigeria,Children,Male,High,22,Romance,Tablet,Free,YouTube,20,46,2,Fiber,English,Multiple Times Per Week
United Kingdom,Young Adults,Male,High,23,Documentary,Tablet,Premium,Disney+,22,44,5,Fiber,Japanese,Weekly
United Kingdom,Adults,Male,High,21,Documentary,Desktop,Premium,Disney+,20,50,5,5G,Portuguese,2-3 Times Per Week
South Korea,Children,Male,Moderate,18,Thriller,Smart TV,Basic,Amazon Prime Video,20,51,4,5G,Korean,Never
New Zealand,Adults,Male,High,21,Romance,Smart TV,Standard,TikTok,13,36,2,4G LTE,French,2-3 Times Per Week
Ghana,Adults,Female,Moderate,19,Documentary,Tablet,Standard,TikTok,9,24,3,Broadband,Chinese,Monthly
Mexico,Adults,Male,High,20,Thriller,Desktop,Premium,Instagram,22,19,3,Broadband,Arabic,Weekly
United States,Adults,Male,High,18,Comedy,Desktop,Standard,Disney+,15,41,2,ADSL,Hindi,Monthly
Mexico,Adults,Female,High,22,Sci-Fi,Desktop,Free,YouTube,20,38,4,5G,Hindi,Daily
Qatar,Adults,Female,Moderate,22,Animation,Smart TV,Basic,Netflix,8,68,3,Broadband,German,2-3 Times Per Week
United Arab Emirates,Children,Male,High,20,Comedy,Smart TV,Premium,Disney+,18,60,4,5G,German,Weekly
Colombia,Adults,Male,High,22,Documentary,Smart TV,Basic,TikTok,14,19,4,5G,Chinese,Multiple Times Per Week
Argentina,Children,Female,High,22,Action,Tablet,Free,Amazon Prime Video,18,64,3,5G,Spanish,Weekly
Philippines,Adults,Female,High,22,Animation,Smart TV,Standard,YouTube,22,32,3,Fiber,Portuguese,Monthly
Sweden,Children,Male,High,18,Comedy,Smart TV,Free,TikTok,16,24,4,Broadband,Korean,Monthly
Egypt,Adults,Male,High,21,Action,Mobile,Basic,YouTube,17,35,3,Fiber,German,Daily
Malaysia,Children,Male,High,20,Thriller,Desktop,Standard,TikTok,19,34,5,Fiber,English,Never
Germany,Adults,Male,Moderate,22,Horror,Tablet,Basic,Instagram,11,28,2,4G LTE,Spanish,Monthly
Germany,Adults,Female,Moderate,21,Drama,Desktop,Basic,Amazon Prime Video,14,60,3,ADSL,Portuguese,Never
Ethiopia,Adults,Female,Moderate,21,Thriller,Mobile,Basic,TikTok,12,33,2,5G,English,Multiple Times Per Week
Tunisia,Young Adults,Female,High,21,Romance,Smart TV,Standard,TikTok,22,19,3,4G LTE,Spanish,Weekly
Turkey,Adults,Female,High,23,Thriller,Tablet,Premium,Netflix,17,67,3,4G LTE,Chinese,Never
Italy,Young Adults,Male,High,22,Horror,Tablet,Premium,Amazon Prime Video,23,57,2,ADSL,Korean,Never
Peru,Adults,Female,High,19,Romance,Mobile,Premium,Netflix,18,67,2,4G LTE,Portuguese,Monthly
Australia,Children,Male,High,21,Romance,Smart TV,Free,Amazon Prime Video,19,65,3,4G LTE,Arabic,Daily
Morocco,Adults,Male,High,18,Romance,Tablet,Free,YouTube,17,29,2,5G,German,Daily
Turkey,Adults,Female,High,20,Sports,Desktop,Standard,Instagram,18,18,3,5G,Portuguese,Never
Ethiopia,Children,Male,High,20,Drama,Smart TV,Premium,Instagram,16,23,2,Broadband,Spanish,Monthly
India,Adults,Female,High,21,Horror,Tablet,Standard,YouTube,17,34,3,4G LTE,Arabic,Daily
Kenya,Adults,Male,Moderate,23,Comedy,Smart TV,Premium,Disney+,17,46,1,4G LTE,French,2-3 Times Per Week
Spain,Adults,Male,High,18,Thriller,Tablet,Premium,TikTok,22,20,3,Broadband,French,Daily
Saudi Arabia,Children,Female,High,18,Comedy,Smart TV,Basic,YouTube,19,34,4,Broadband,Korean,Monthly
Vietnam,Adults,Female,High,18,Horror,Smart TV,Premium,Instagram,21,27,4,ADSL,Korean,Never
Argentina,Adults,Female,High,21,Comedy,Mobile,Basic,Instagram,8,18,3,Fiber,German,Multiple Times Per Week
Canada,Children,Male,High,23,Animation,Tablet,Premium,TikTok,18,29,3,5G,Chinese,Daily
Spain,Children,Male,High,20,Documentary,Mobile,Basic,TikTok,19,21,3,Broadband,Portuguese,2-3 Times Per Week
Chile,Children,Male,High,20,Documentary,Smart TV,Standard,TikTok,20,22,3,Fiber,English,Multiple Times Per Week
Malaysia,Young Adults,Male,High,18,Action,Tablet,Premium,Instagram,23,34,4,Fiber,Spanish,Daily
Nigeria,Adults,Male,Moderate,22,Action,Smart TV,Standard,Amazon Prime Video,15,42,2,5G,Spanish,2-3 Times Per Week
Brazil,Adults,Female,High,21,Horror,Desktop,Free,YouTube,22,25,4,Fiber,Chinese,Multiple Times Per Week
Germany,Adults,Male,Moderate,21,Romance,Mobile,Standard,TikTok,22,33,3,4G LTE,English,Never
Australia,Adults,Male,High,19,Comedy,Desktop,Free,YouTube,21,35,3,4G LTE,Japanese,Daily
Egypt,Adults,Female,High,21,Sports,Desktop,Standard,Netflix,13,60,2,4G LTE,Korean,Monthly
Netherlands,Adults,Female,Moderate,19,Drama,Mobile,Basic,TikTok,10,25,4,Fiber,German,Daily
Japan,Adults,Male,Moderate,20,Sci-Fi,Smart TV,Free,Netflix,11,48,3,Broadband,Arabic,Multiple Times Per Week
Nigeria,Adults,Male,Moderate,20,Animation,Tablet,Premium,YouTube,12,32,1,Broadband,Chinese,Monthly
Philippines,Adults,Female,High,22,Sports,Desktop,Free,Instagram,10,39,3,Fiber,Chinese,Daily
Netherlands,Children,Male,High,18,Animation,Desktop,Free,TikTok,19,32,5,5G,Japanese,2-3 Times Per Week
Mexico,Young Adults,Female,High,22,Horror,Mobile,Premium,Amazon Prime Video,20,42,2,5G,English,Multiple Times Per Week
South Korea,Adults,Male,Moderate,20,Documentary,Tablet,Free,Amazon Prime Video,9,46,2,5G,German,Multiple Times Per Week
Argentina,Adults,Female,High,22,Thriller,Mobile,Standard,YouTube,12,36,4,Broadband,Korean,Daily
Turkey,Adults,Female,High,21,Documentary,Tablet,Premium,Disney+,15,43,2,5G,Arabic,Never
Mexico,Children,Male,High,23,Romance,Mobile,Free,Amazon Prime Video,17,55,2,Fiber,Japanese,Daily
Brazil,Adults,Male,High,21,Romance,Smart TV,Premium,YouTube,11,49,3,Fiber,Korean,2-3 Times Per Week
Ecuador,Children,Male,High,19,Thriller,Desktop,Free,YouTube,17,46,3,4G LTE,Portuguese,Multiple Times Per Week
Peru,Adults,Male,High,21,Animation,Desktop,Premium,Disney+,13,59,1,Broadband,Korean,Monthly
Canada,Adults,Female,High,20,Thriller,Desktop,Basic,Instagram,19,32,4,Broadband,Portuguese,Daily
Malaysia,Children,Female,High,23,Documentary,Mobile,Standard,Amazon Prime Video,16,58,3,Fiber,Chinese,Never
Israel,Adults,Female,High,23,Documentary,Tablet,Premium,Disney+,19,47,3,Fiber,Hindi,Daily
Germany,Adults,Male,Moderate,22,Horror,Mobile,Premium,Amazon Prime Video,17,59,4,4G LTE,English,Daily
United States,Adults,Female,High,20,Comedy,Smart TV,Premium,Disney+,14,46,5,Broadband,Arabic,Weekly
United Arab Emirates,Children,Male,High,18,Comedy,Tablet,Free,Netflix,19,53,4,Broadband,German,2-3 Times Per Week
Sweden,Adults,Male,High,23,Documentary,Smart TV,Standard,Instagram,19,25,3,5G,Korean,2-3 Times Per Week
Brazil,Adults,Female,High,22,Romance,Mobile,Standard,Instagram,10,25,2,4G LTE,Arabic,Monthly
Turkey,Young Adults,Female,High,23,Comedy,Mobile,Basic,Disney+,23,59,4,Broadband,Japanese,Daily
Norway,Adults,Female,Moderate,18,Action,Mobile,Free,YouTube,13,29,4,Fiber,Arabic,Daily
Pakistan,Adults,Male,High,23,Thriller,Smart TV,Free,TikTok,15,23,2,Fiber,Korean,Never
United Arab Emirates,Young Adults,Female,High,21,Sci-Fi,Desktop,Basic,Amazon Prime Video,21,50,4,4G LTE,Portuguese,Weekly
United Kingdom,Children,Male,High,19,Romance,Smart TV,Standard,Instagram,20,38,4,Fiber,Hindi,Daily
Argentina,Children,Female,High,21,Documentary,Mobile,Free,Amazon Prime Video,20,54,4,5G,German,2-3 Times Per Week
Netherlands,Adults,Female,High,21,Sci-Fi,Mobile,Premium,Disney+,20,48,3,5G,Korean,Daily
Kenya,Adults,Female,Moderate,18,Sports,Tablet,Premium,Amazon Prime Video,12,44,3,Broadband,French,2-3 Times Per Week
Brazil,Children,Female,High,21,Thriller,Mobile,Basic,YouTube,17,43,4,5G,Hindi,2-3 Times Per Week
Sweden,Adults,Male,High,18,Comedy,Tablet,Basic,Disney+,13,59,3,5G,Chinese,2-3 Times Per Week
Mexico,Children,Male,High,22,Romance,Mobile,Free,TikTok,20,32,3,4G LTE,Hindi,Weekly
India,Adults,Male,High,21,Sports,Tablet,Premium,YouTube,18,41,1,4G LTE,Arabic,Weekly
Italy,Children,Male,High,21,Animation,Smart TV,Standard,YouTube,17,26,3,4G LTE,Portuguese,Weekly
Mexico,Adults,Male,High,19,Documentary,Smart TV,Standard,TikTok,20,30,3,4G LTE,Japanese,Daily
Malaysia,Young Adults,Male,High,18,Drama,Mobile,Premium,YouTube,24,36,4,ADSL,Hindi,Multiple Times Per Week
South Korea,Adults,Female,Moderate,18,Sports,Tablet,Free,Disney+,8,56,4,ADSL,Arabic,Monthly
Thailand,Adults,Female,High,18,Thriller,Mobile,Premium,TikTok,19,23,2,Broadband,German,Multiple Times Per Week
